Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-100.txt', log_freq=1, loss_type='BPR', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 39, 'rec_avg_loss': '0.00011131', 'rec_cur_loss': '0.00015724', 'total training time': '123.6893', 'max mem': '285'}
{'epoch': 40, 'rec_avg_loss': '0.00010670', 'rec_cur_loss': '0.00005078', 'total training time': '126.9720', 'max mem': '285'}
{'epoch': 41, 'rec_avg_loss': '0.00010113', 'rec_cur_loss': '0.00006826', 'total training time': '129.9980', 'max mem': '285'}
{'epoch': 42, 'rec_avg_loss': '0.00009384', 'rec_cur_loss': '0.00006922', 'total training time': '133.1911', 'max mem': '285'}
{'epoch': 43, 'rec_avg_loss': '0.00009556', 'rec_cur_loss': '0.00014151', 'total training time': '136.2135', 'max mem': '285'}
{'epoch': 44, 'rec_avg_loss': '0.00008528', 'rec_cur_loss': '0.00010214', 'total training time': '139.5614', 'max mem': '285'}
{'epoch': 45, 'rec_avg_loss': '0.00007995', 'rec_cur_loss': '0.00009567', 'total training time': '142.4930', 'max mem': '285'}
{'epoch': 46, 'rec_avg_loss': '0.00007258', 'rec_cur_loss': '0.00004883', 'total training time': '145.6489', 'max mem': '285'}
{'epoch': 47, 'rec_avg_loss': '0.00007559', 'rec_cur_loss': '0.00005355', 'total training time': '148.5520', 'max mem': '285'}
{'epoch': 48, 'rec_avg_loss': '0.00007275', 'rec_cur_loss': '0.00006372', 'total training time': '151.7050', 'max mem': '285'}
{'epoch': 49, 'rec_avg_loss': '0.00006362', 'rec_cur_loss': '0.00006985', 'total training time': '154.6695', 'max mem': '285'}
{'epoch': 50, 'rec_avg_loss': '0.00006217', 'rec_cur_loss': '0.00004466', 'total training time': '157.9385', 'max mem': '285'}
{'epoch': 51, 'rec_avg_loss': '0.00005612', 'rec_cur_loss': '0.00010451', 'total training time': '161.0106', 'max mem': '285'}
{'epoch': 52, 'rec_avg_loss': '0.00005294', 'rec_cur_loss': '0.00004235', 'total training time': '164.1393', 'max mem': '285'}
{'epoch': 53, 'rec_avg_loss': '0.00005363', 'rec_cur_loss': '0.00003712', 'total training time': '167.3102', 'max mem': '285'}
{'epoch': 54, 'rec_avg_loss': '0.00005918', 'rec_cur_loss': '0.00002484', 'total training time': '170.6109', 'max mem': '285'}
{'epoch': 55, 'rec_avg_loss': '0.00004671', 'rec_cur_loss': '0.00006958', 'total training time': '173.5930', 'max mem': '285'}
{'epoch': 56, 'rec_avg_loss': '0.00004364', 'rec_cur_loss': '0.00004714', 'total training time': '176.9397', 'max mem': '285'}
{'epoch': 57, 'rec_avg_loss': '0.00004355', 'rec_cur_loss': '0.00004580', 'total training time': '180.1710', 'max mem': '285'}
{'epoch': 58, 'rec_avg_loss': '0.00004010', 'rec_cur_loss': '0.00002671', 'total training time': '182.8846', 'max mem': '285'}
{'epoch': 59, 'rec_avg_loss': '0.00004631', 'rec_cur_loss': '0.00006205', 'total training time': '186.3948', 'max mem': '285'}
{'epoch': 60, 'rec_avg_loss': '0.00003400', 'rec_cur_loss': '0.00003725', 'total training time': '189.3660', 'max mem': '285'}
{'epoch': 61, 'rec_avg_loss': '0.00003485', 'rec_cur_loss': '0.00004395', 'total training time': '192.4966', 'max mem': '285'}
{'epoch': 62, 'rec_avg_loss': '0.00003022', 'rec_cur_loss': '0.00002481', 'total training time': '195.6278', 'max mem': '285'}
