Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-10.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-10.txt', log_freq=1, loss_type='BPR', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=10, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '0.67649451', 'rec_cur_loss': '0.60906726', 'total training time': '2.9582', 'max mem': '285'}
{'epoch': 1, 'rec_avg_loss': '0.44839812', 'rec_cur_loss': '0.36733514', 'total training time': '6.0255', 'max mem': '285'}
{'epoch': 2, 'rec_avg_loss': '0.23032820', 'rec_cur_loss': '0.20264636', 'total training time': '8.9507', 'max mem': '285'}
{'epoch': 3, 'rec_avg_loss': '0.11485865', 'rec_cur_loss': '0.10490458', 'total training time': '12.2221', 'max mem': '285'}
{'epoch': 4, 'rec_avg_loss': '0.06036493', 'rec_cur_loss': '0.04525547', 'total training time': '15.8193', 'max mem': '285'}
{'epoch': 5, 'rec_avg_loss': '0.03563465', 'rec_cur_loss': '0.02982466', 'total training time': '19.1225', 'max mem': '285'}
{'epoch': 6, 'rec_avg_loss': '0.02307706', 'rec_cur_loss': '0.01853620', 'total training time': '22.0653', 'max mem': '285'}
{'epoch': 7, 'rec_avg_loss': '0.01601915', 'rec_cur_loss': '0.01468514', 'total training time': '25.1133', 'max mem': '285'}
{'epoch': 8, 'rec_avg_loss': '0.01170528', 'rec_cur_loss': '0.01001982', 'total training time': '28.0935', 'max mem': '285'}
{'epoch': 9, 'rec_avg_loss': '0.00898193', 'rec_cur_loss': '0.00777175', 'total training time': '31.1757', 'max mem': '285'}
{'epoch': 10, 'rec_avg_loss': '0.00706787', 'rec_cur_loss': '0.00558700', 'total training time': '34.3478', 'max mem': '285'}
{'epoch': 11, 'rec_avg_loss': '0.00571703', 'rec_cur_loss': '0.00552053', 'total training time': '37.1990', 'max mem': '285'}
{'epoch': 12, 'rec_avg_loss': '0.00468387', 'rec_cur_loss': '0.00441495', 'total training time': '40.3611', 'max mem': '285'}
{'epoch': 13, 'rec_avg_loss': '0.00392381', 'rec_cur_loss': '0.00323860', 'total training time': '43.1526', 'max mem': '285'}
{'epoch': 14, 'rec_avg_loss': '0.00333053', 'rec_cur_loss': '0.00284855', 'total training time': '46.3484', 'max mem': '285'}
{'epoch': 15, 'rec_avg_loss': '0.00283254', 'rec_cur_loss': '0.00234920', 'total training time': '49.1332', 'max mem': '285'}
{'epoch': 16, 'rec_avg_loss': '0.00244970', 'rec_cur_loss': '0.00241642', 'total training time': '52.2011', 'max mem': '285'}
{'epoch': 17, 'rec_avg_loss': '0.00215025', 'rec_cur_loss': '0.00192107', 'total training time': '54.9053', 'max mem': '285'}
{'epoch': 18, 'rec_avg_loss': '0.00188561', 'rec_cur_loss': '0.00202641', 'total training time': '58.0097', 'max mem': '285'}
