Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.txt', log_freq=1, loss_type='TOP1-max', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=10, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 39, 'rec_avg_loss': '0.00132339', 'rec_cur_loss': '0.00127051', 'total training time': '121.2256', 'max mem': '285'}
{'epoch': 40, 'rec_avg_loss': '0.00133102', 'rec_cur_loss': '0.00136881', 'total training time': '124.1317', 'max mem': '285'}
{'epoch': 41, 'rec_avg_loss': '0.00133080', 'rec_cur_loss': '0.00125342', 'total training time': '127.0455', 'max mem': '285'}
{'epoch': 42, 'rec_avg_loss': '0.00132646', 'rec_cur_loss': '0.00114929', 'total training time': '129.9909', 'max mem': '285'}
{'epoch': 43, 'rec_avg_loss': '0.00134636', 'rec_cur_loss': '0.00181578', 'total training time': '132.8081', 'max mem': '285'}
{'epoch': 44, 'rec_avg_loss': '0.00133343', 'rec_cur_loss': '0.00172551', 'total training time': '135.6873', 'max mem': '285'}
{'epoch': 45, 'rec_avg_loss': '0.00132462', 'rec_cur_loss': '0.00139712', 'total training time': '138.4002', 'max mem': '285'}
{'epoch': 46, 'rec_avg_loss': '0.00131741', 'rec_cur_loss': '0.00146564', 'total training time': '141.4639', 'max mem': '285'}
{'epoch': 47, 'rec_avg_loss': '0.00132454', 'rec_cur_loss': '0.00118129', 'total training time': '144.2913', 'max mem': '285'}
{'epoch': 48, 'rec_avg_loss': '0.00133809', 'rec_cur_loss': '0.00139162', 'total training time': '147.1859', 'max mem': '285'}
{'epoch': 49, 'rec_avg_loss': '0.00132473', 'rec_cur_loss': '0.00136752', 'total training time': '150.2654', 'max mem': '285'}
{'epoch': 50, 'rec_avg_loss': '0.00132085', 'rec_cur_loss': '0.00135706', 'total training time': '153.0243', 'max mem': '285'}
{'epoch': 51, 'rec_avg_loss': '0.00132067', 'rec_cur_loss': '0.00150246', 'total training time': '155.9460', 'max mem': '285'}
{'epoch': 52, 'rec_avg_loss': '0.00133232', 'rec_cur_loss': '0.00144960', 'total training time': '158.8928', 'max mem': '285'}
{'epoch': 53, 'rec_avg_loss': '0.00132284', 'rec_cur_loss': '0.00156698', 'total training time': '161.8230', 'max mem': '285'}
{'epoch': 54, 'rec_avg_loss': '0.00133043', 'rec_cur_loss': '0.00140382', 'total training time': '165.0394', 'max mem': '285'}
{'epoch': 55, 'rec_avg_loss': '0.00133799', 'rec_cur_loss': '0.00148240', 'total training time': '168.0015', 'max mem': '285'}
{'epoch': 56, 'rec_avg_loss': '0.00132530', 'rec_cur_loss': '0.00184201', 'total training time': '171.1357', 'max mem': '285'}
{'epoch': 57, 'rec_avg_loss': '0.00131371', 'rec_cur_loss': '0.00131434', 'total training time': '173.9930', 'max mem': '285'}
{'epoch': 58, 'rec_avg_loss': '0.00132184', 'rec_cur_loss': '0.00161768', 'total training time': '177.0358', 'max mem': '285'}
{'epoch': 59, 'rec_avg_loss': '0.00131601', 'rec_cur_loss': '0.00141817', 'total training time': '179.7889', 'max mem': '285'}
{'epoch': 60, 'rec_avg_loss': '0.00131711', 'rec_cur_loss': '0.00116709', 'total training time': '182.9012', 'max mem': '285'}
{'epoch': 61, 'rec_avg_loss': '0.00132151', 'rec_cur_loss': '0.00138756', 'total training time': '185.9013', 'max mem': '285'}
{'epoch': 62, 'rec_avg_loss': '0.00130613', 'rec_cur_loss': '0.00145071', 'total training time': '188.8277', 'max mem': '285'}
{'epoch': 63, 'rec_avg_loss': '0.00131437', 'rec_cur_loss': '0.00113617', 'total training time': '192.0230', 'max mem': '285'}
{'epoch': 64, 'rec_avg_loss': '0.00131386', 'rec_cur_loss': '0.00125541', 'total training time': '194.8495', 'max mem': '285'}
{'epoch': 65, 'rec_avg_loss': '0.00130801', 'rec_cur_loss': '0.00129789', 'total training time': '197.9683', 'max mem': '285'}
{'epoch': 66, 'rec_avg_loss': '0.00131834', 'rec_cur_loss': '0.00114594', 'total training time': '200.8733', 'max mem': '285'}
{'epoch': 67, 'rec_avg_loss': '0.00132627', 'rec_cur_loss': '0.00137908', 'total training time': '204.0411', 'max mem': '285'}
{'epoch': 68, 'rec_avg_loss': '0.00131263', 'rec_cur_loss': '0.00132248', 'total training time': '206.6929', 'max mem': '285'}
{'epoch': 69, 'rec_avg_loss': '0.00131909', 'rec_cur_loss': '0.00139094', 'total training time': '209.8209', 'max mem': '285'}
{'epoch': 70, 'rec_avg_loss': '0.00131026', 'rec_cur_loss': '0.00144417', 'total training time': '212.5911', 'max mem': '285'}
{'epoch': 71, 'rec_avg_loss': '0.00130889', 'rec_cur_loss': '0.00155005', 'total training time': '215.6818', 'max mem': '285'}
{'epoch': 72, 'rec_avg_loss': '0.00129691', 'rec_cur_loss': '0.00116766', 'total training time': '218.7232', 'max mem': '285'}
{'epoch': 73, 'rec_avg_loss': '0.00131817', 'rec_cur_loss': '0.00125657', 'total training time': '221.5064', 'max mem': '285'}
{'epoch': 74, 'rec_avg_loss': '0.00131644', 'rec_cur_loss': '0.00156016', 'total training time': '224.6049', 'max mem': '285'}
{'epoch': 75, 'rec_avg_loss': '0.00130391', 'rec_cur_loss': '0.00149051', 'total training time': '227.5404', 'max mem': '285'}
{'epoch': 76, 'rec_avg_loss': '0.00131568', 'rec_cur_loss': '0.00145353', 'total training time': '230.7322', 'max mem': '285'}
{'epoch': 77, 'rec_avg_loss': '0.00130279', 'rec_cur_loss': '0.00139862', 'total training time': '233.5387', 'max mem': '285'}
{'epoch': 78, 'rec_avg_loss': '0.00131537', 'rec_cur_loss': '0.00143219', 'total training time': '236.7047', 'max mem': '285'}
{'epoch': 79, 'rec_avg_loss': '0.00130792', 'rec_cur_loss': '0.00160474', 'total training time': '239.5391', 'max mem': '285'}
{'epoch': 80, 'rec_avg_loss': '0.00129919', 'rec_cur_loss': '0.00149000', 'total training time': '242.6705', 'max mem': '285'}
{'epoch': 81, 'rec_avg_loss': '0.00129374', 'rec_cur_loss': '0.00108036', 'total training time': '245.6450', 'max mem': '285'}
{'epoch': 82, 'rec_avg_loss': '0.00131777', 'rec_cur_loss': '0.00114789', 'total training time': '248.4881', 'max mem': '285'}
{'epoch': 83, 'rec_avg_loss': '0.00130326', 'rec_cur_loss': '0.00135132', 'total training time': '251.4459', 'max mem': '285'}
{'epoch': 84, 'rec_avg_loss': '0.00128975', 'rec_cur_loss': '0.00129751', 'total training time': '254.4345', 'max mem': '285'}
{'epoch': 85, 'rec_avg_loss': '0.00129499', 'rec_cur_loss': '0.00137033', 'total training time': '257.4653', 'max mem': '285'}
{'epoch': 86, 'rec_avg_loss': '0.00131361', 'rec_cur_loss': '0.00136915', 'total training time': '260.2588', 'max mem': '285'}
