Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-100.txt', log_freq=1, loss_type='TOP1', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 39, 'rec_avg_loss': '0.25815633', 'rec_cur_loss': '0.27622968', 'total training time': '122.4085', 'max mem': '285'}
{'epoch': 40, 'rec_avg_loss': '0.25994894', 'rec_cur_loss': '0.29114860', 'total training time': '125.5085', 'max mem': '285'}
{'epoch': 41, 'rec_avg_loss': '0.25759428', 'rec_cur_loss': '0.26307163', 'total training time': '128.5557', 'max mem': '285'}
{'epoch': 42, 'rec_avg_loss': '0.25747658', 'rec_cur_loss': '0.25028038', 'total training time': '131.6417', 'max mem': '285'}
{'epoch': 43, 'rec_avg_loss': '0.25746989', 'rec_cur_loss': '0.29319406', 'total training time': '134.6407', 'max mem': '285'}
{'epoch': 44, 'rec_avg_loss': '0.25700194', 'rec_cur_loss': '0.25275007', 'total training time': '137.9702', 'max mem': '285'}
{'epoch': 45, 'rec_avg_loss': '0.25793305', 'rec_cur_loss': '0.26403075', 'total training time': '140.9141', 'max mem': '285'}
{'epoch': 46, 'rec_avg_loss': '0.25789174', 'rec_cur_loss': '0.26645881', 'total training time': '144.3540', 'max mem': '285'}
{'epoch': 47, 'rec_avg_loss': '0.25736009', 'rec_cur_loss': '0.23334374', 'total training time': '147.3562', 'max mem': '285'}
{'epoch': 48, 'rec_avg_loss': '0.25665497', 'rec_cur_loss': '0.26404649', 'total training time': '150.7104', 'max mem': '285'}
{'epoch': 49, 'rec_avg_loss': '0.25685941', 'rec_cur_loss': '0.29707092', 'total training time': '153.4918', 'max mem': '285'}
{'epoch': 50, 'rec_avg_loss': '0.25489806', 'rec_cur_loss': '0.25298697', 'total training time': '156.7624', 'max mem': '285'}
{'epoch': 51, 'rec_avg_loss': '0.25616307', 'rec_cur_loss': '0.23407197', 'total training time': '159.6213', 'max mem': '285'}
{'epoch': 52, 'rec_avg_loss': '0.25693766', 'rec_cur_loss': '0.27971849', 'total training time': '162.8544', 'max mem': '285'}
{'epoch': 53, 'rec_avg_loss': '0.25764513', 'rec_cur_loss': '0.25923088', 'total training time': '165.7478', 'max mem': '285'}
{'epoch': 54, 'rec_avg_loss': '0.25837751', 'rec_cur_loss': '0.27764231', 'total training time': '168.8597', 'max mem': '285'}
{'epoch': 55, 'rec_avg_loss': '0.25741285', 'rec_cur_loss': '0.24594504', 'total training time': '171.7804', 'max mem': '285'}
{'epoch': 56, 'rec_avg_loss': '0.25551267', 'rec_cur_loss': '0.26509875', 'total training time': '174.9821', 'max mem': '285'}
{'epoch': 57, 'rec_avg_loss': '0.25549397', 'rec_cur_loss': '0.28564537', 'total training time': '177.9476', 'max mem': '285'}
{'epoch': 58, 'rec_avg_loss': '0.25584725', 'rec_cur_loss': '0.28743285', 'total training time': '180.9798', 'max mem': '285'}
{'epoch': 59, 'rec_avg_loss': '0.25672705', 'rec_cur_loss': '0.25736359', 'total training time': '184.3076', 'max mem': '285'}
{'epoch': 60, 'rec_avg_loss': '0.25502539', 'rec_cur_loss': '0.23414001', 'total training time': '187.4325', 'max mem': '285'}
{'epoch': 61, 'rec_avg_loss': '0.25496877', 'rec_cur_loss': '0.23758961', 'total training time': '190.6782', 'max mem': '285'}
{'epoch': 62, 'rec_avg_loss': '0.25593886', 'rec_cur_loss': '0.26630265', 'total training time': '193.8064', 'max mem': '285'}
{'epoch': 63, 'rec_avg_loss': '0.25576196', 'rec_cur_loss': '0.23493446', 'total training time': '196.7976', 'max mem': '285'}
{'epoch': 64, 'rec_avg_loss': '0.25562878', 'rec_cur_loss': '0.25702232', 'total training time': '199.7556', 'max mem': '285'}
{'epoch': 65, 'rec_avg_loss': '0.25565589', 'rec_cur_loss': '0.25835866', 'total training time': '202.9743', 'max mem': '285'}
{'epoch': 66, 'rec_avg_loss': '0.25466112', 'rec_cur_loss': '0.24267012', 'total training time': '205.9444', 'max mem': '285'}
{'epoch': 67, 'rec_avg_loss': '0.25553921', 'rec_cur_loss': '0.25954735', 'total training time': '209.0046', 'max mem': '285'}
{'epoch': 68, 'rec_avg_loss': '0.25656166', 'rec_cur_loss': '0.24215615', 'total training time': '212.0346', 'max mem': '285'}
{'epoch': 69, 'rec_avg_loss': '0.25622834', 'rec_cur_loss': '0.24809617', 'total training time': '215.2161', 'max mem': '285'}
{'epoch': 70, 'rec_avg_loss': '0.25600791', 'rec_cur_loss': '0.23389830', 'total training time': '218.2248', 'max mem': '285'}
{'epoch': 71, 'rec_avg_loss': '0.25737163', 'rec_cur_loss': '0.26149267', 'total training time': '221.5496', 'max mem': '285'}
{'epoch': 72, 'rec_avg_loss': '0.25575517', 'rec_cur_loss': '0.25368309', 'total training time': '224.3813', 'max mem': '285'}
{'epoch': 73, 'rec_avg_loss': '0.25605603', 'rec_cur_loss': '0.26755843', 'total training time': '227.6085', 'max mem': '285'}
{'epoch': 74, 'rec_avg_loss': '0.25705212', 'rec_cur_loss': '0.26725781', 'total training time': '230.6918', 'max mem': '285'}
{'epoch': 75, 'rec_avg_loss': '0.25818051', 'rec_cur_loss': '0.26109487', 'total training time': '233.9850', 'max mem': '285'}
{'epoch': 76, 'rec_avg_loss': '0.25764625', 'rec_cur_loss': '0.23946342', 'total training time': '236.8801', 'max mem': '285'}
{'epoch': 77, 'rec_avg_loss': '0.25890745', 'rec_cur_loss': '0.27825388', 'total training time': '240.0598', 'max mem': '285'}
{'epoch': 78, 'rec_avg_loss': '0.25782004', 'rec_cur_loss': '0.25135219', 'total training time': '243.0758', 'max mem': '285'}
{'epoch': 79, 'rec_avg_loss': '0.25626442', 'rec_cur_loss': '0.25544912', 'total training time': '246.3255', 'max mem': '285'}
{'epoch': 80, 'rec_avg_loss': '0.25616309', 'rec_cur_loss': '0.29073304', 'total training time': '249.2965', 'max mem': '285'}
{'epoch': 81, 'rec_avg_loss': '0.25484521', 'rec_cur_loss': '0.26934043', 'total training time': '252.6541', 'max mem': '285'}
{'epoch': 82, 'rec_avg_loss': '0.25541605', 'rec_cur_loss': '0.24077445', 'total training time': '255.5888', 'max mem': '285'}
{'epoch': 83, 'rec_avg_loss': '0.25512489', 'rec_cur_loss': '0.26224279', 'total training time': '258.8341', 'max mem': '285'}
{'epoch': 84, 'rec_avg_loss': '0.25461538', 'rec_cur_loss': '0.25756991', 'total training time': '261.8458', 'max mem': '285'}
{'epoch': 85, 'rec_avg_loss': '0.25410477', 'rec_cur_loss': '0.24527535', 'total training time': '264.8721', 'max mem': '285'}
{'epoch': 86, 'rec_avg_loss': '0.25457491', 'rec_cur_loss': '0.23430698', 'total training time': '267.9723', 'max mem': '285'}
{'epoch': 87, 'rec_avg_loss': '0.25492281', 'rec_cur_loss': '0.23471607', 'total training time': '270.7945', 'max mem': '285'}
{'epoch': 88, 'rec_avg_loss': '0.25317617', 'rec_cur_loss': '0.25109833', 'total training time': '273.8718', 'max mem': '285'}
{'epoch': 89, 'rec_avg_loss': '0.25647800', 'rec_cur_loss': '0.29427373', 'total training time': '276.8981', 'max mem': '285'}
{'epoch': 90, 'rec_avg_loss': '0.25478522', 'rec_cur_loss': '0.25208965', 'total training time': '279.6488', 'max mem': '285'}
{'epoch': 91, 'rec_avg_loss': '0.25281499', 'rec_cur_loss': '0.22823822', 'total training time': '282.9452', 'max mem': '285'}
{'epoch': 92, 'rec_avg_loss': '0.25439857', 'rec_cur_loss': '0.26591259', 'total training time': '285.8428', 'max mem': '285'}
{'epoch': 93, 'rec_avg_loss': '0.25479134', 'rec_cur_loss': '0.26882660', 'total training time': '288.6810', 'max mem': '285'}
{'epoch': 94, 'rec_avg_loss': '0.25355264', 'rec_cur_loss': '0.26684451', 'total training time': '291.9739', 'max mem': '285'}
{'epoch': 95, 'rec_avg_loss': '0.25443970', 'rec_cur_loss': '0.24209723', 'total training time': '294.7321', 'max mem': '285'}
{'epoch': 96, 'rec_avg_loss': '0.25328178', 'rec_cur_loss': '0.31029654', 'total training time': '297.5559', 'max mem': '285'}
{'epoch': 97, 'rec_avg_loss': '0.25256286', 'rec_cur_loss': '0.25692627', 'total training time': '301.0213', 'max mem': '285'}
{'epoch': 98, 'rec_avg_loss': '0.25343207', 'rec_cur_loss': '0.26025429', 'total training time': '304.0513', 'max mem': '285'}
{'epoch': 99, 'rec_avg_loss': '0.25390373', 'rec_cur_loss': '0.27125552', 'total training time': '307.2345', 'max mem': '285'}
{'epoch': 100, 'rec_avg_loss': '0.25279717', 'rec_cur_loss': '0.24596326', 'total training time': '310.3225', 'max mem': '285'}
{'epoch': 101, 'rec_avg_loss': '0.25380301', 'rec_cur_loss': '0.27347007', 'total training time': '313.1420', 'max mem': '285'}
{'epoch': 102, 'rec_avg_loss': '0.25435431', 'rec_cur_loss': '0.27185506', 'total training time': '316.5073', 'max mem': '285'}
{'epoch': 103, 'rec_avg_loss': '0.25290101', 'rec_cur_loss': '0.25566602', 'total training time': '319.3218', 'max mem': '285'}
{'epoch': 104, 'rec_avg_loss': '0.25326039', 'rec_cur_loss': '0.26163310', 'total training time': '322.5720', 'max mem': '285'}
{'epoch': 105, 'rec_avg_loss': '0.25314700', 'rec_cur_loss': '0.25671262', 'total training time': '325.4690', 'max mem': '285'}
{'epoch': 106, 'rec_avg_loss': '0.25263945', 'rec_cur_loss': '0.24411502', 'total training time': '328.8517', 'max mem': '285'}
{'epoch': 107, 'rec_avg_loss': '0.25252605', 'rec_cur_loss': '0.24629304', 'total training time': '331.7408', 'max mem': '285'}
{'epoch': 108, 'rec_avg_loss': '0.25255494', 'rec_cur_loss': '0.25805658', 'total training time': '335.0512', 'max mem': '285'}
{'epoch': 109, 'rec_avg_loss': '0.25297886', 'rec_cur_loss': '0.27808878', 'total training time': '338.0384', 'max mem': '285'}
{'epoch': 110, 'rec_avg_loss': '0.25245284', 'rec_cur_loss': '0.25808373', 'total training time': '341.0890', 'max mem': '285'}
{'epoch': 111, 'rec_avg_loss': '0.25350678', 'rec_cur_loss': '0.28094617', 'total training time': '343.9977', 'max mem': '285'}
{'epoch': 112, 'rec_avg_loss': '0.25219160', 'rec_cur_loss': '0.25385934', 'total training time': '347.1206', 'max mem': '285'}
{'epoch': 113, 'rec_avg_loss': '0.25333040', 'rec_cur_loss': '0.24418956', 'total training time': '350.1875', 'max mem': '285'}
{'epoch': 114, 'rec_avg_loss': '0.25307733', 'rec_cur_loss': '0.25858468', 'total training time': '353.3062', 'max mem': '285'}
{'epoch': 115, 'rec_avg_loss': '0.25354659', 'rec_cur_loss': '0.25064376', 'total training time': '356.6547', 'max mem': '285'}
{'epoch': 116, 'rec_avg_loss': '0.25276428', 'rec_cur_loss': '0.26219684', 'total training time': '359.7419', 'max mem': '285'}
{'epoch': 117, 'rec_avg_loss': '0.25317585', 'rec_cur_loss': '0.23239599', 'total training time': '363.1266', 'max mem': '285'}
{'epoch': 118, 'rec_avg_loss': '0.25315474', 'rec_cur_loss': '0.25005281', 'total training time': '366.0551', 'max mem': '285'}
{'epoch': 119, 'rec_avg_loss': '0.25143758', 'rec_cur_loss': '0.22921544', 'total training time': '369.3098', 'max mem': '285'}
{'epoch': 120, 'rec_avg_loss': '0.25391108', 'rec_cur_loss': '0.23427697', 'total training time': '372.1794', 'max mem': '285'}
{'epoch': 121, 'rec_avg_loss': '0.25365387', 'rec_cur_loss': '0.22590347', 'total training time': '375.4570', 'max mem': '285'}
{'epoch': 122, 'rec_avg_loss': '0.25321283', 'rec_cur_loss': '0.26678002', 'total training time': '378.3646', 'max mem': '285'}
{'epoch': 123, 'rec_avg_loss': '0.25333538', 'rec_cur_loss': '0.24091488', 'total training time': '381.5333', 'max mem': '285'}
{'epoch': 124, 'rec_avg_loss': '0.25439502', 'rec_cur_loss': '0.23956482', 'total training time': '384.4525', 'max mem': '285'}
{'epoch': 125, 'rec_avg_loss': '0.25385033', 'rec_cur_loss': '0.27787307', 'total training time': '387.7990', 'max mem': '285'}
{'epoch': 126, 'rec_avg_loss': '0.25241867', 'rec_cur_loss': '0.27847302', 'total training time': '390.7054', 'max mem': '285'}
{'epoch': 127, 'rec_avg_loss': '0.25193220', 'rec_cur_loss': '0.22846952', 'total training time': '393.9665', 'max mem': '285'}
{'epoch': 128, 'rec_avg_loss': '0.25228201', 'rec_cur_loss': '0.20282659', 'total training time': '396.9792', 'max mem': '285'}
{'epoch': 129, 'rec_avg_loss': '0.25305988', 'rec_cur_loss': '0.24514398', 'total training time': '400.1396', 'max mem': '285'}
{'epoch': 130, 'rec_avg_loss': '0.25388925', 'rec_cur_loss': '0.24959326', 'total training time': '403.1724', 'max mem': '285'}
{'epoch': 131, 'rec_avg_loss': '0.25423110', 'rec_cur_loss': '0.23866913', 'total training time': '406.5698', 'max mem': '285'}
{'epoch': 132, 'rec_avg_loss': '0.25734979', 'rec_cur_loss': '0.26695979', 'total training time': '409.4495', 'max mem': '285'}
{'epoch': 133, 'rec_avg_loss': '0.25547926', 'rec_cur_loss': '0.25578207', 'total training time': '412.2349', 'max mem': '285'}
{'epoch': 134, 'rec_avg_loss': '0.25427456', 'rec_cur_loss': '0.24120024', 'total training time': '415.4425', 'max mem': '285'}
{'epoch': 135, 'rec_avg_loss': '0.25450549', 'rec_cur_loss': '0.25172871', 'total training time': '418.5157', 'max mem': '285'}
{'epoch': 136, 'rec_avg_loss': '0.25457570', 'rec_cur_loss': '0.25139523', 'total training time': '421.7785', 'max mem': '285'}
{'epoch': 137, 'rec_avg_loss': '0.25607120', 'rec_cur_loss': '0.25681129', 'total training time': '424.8678', 'max mem': '285'}
{'epoch': 138, 'rec_avg_loss': '0.25362300', 'rec_cur_loss': '0.26896104', 'total training time': '427.8929', 'max mem': '285'}
{'epoch': 139, 'rec_avg_loss': '0.25308779', 'rec_cur_loss': '0.28106874', 'total training time': '430.9163', 'max mem': '285'}
{'Epoch': 0, 'HIT@5': '0.0079', 'NDCG@5': '0.0045', 'HIT@10': '0.0160', 'NDCG@10': '0.0071', 'HIT@20': '0.0279', 'NDCG@20': '0.0101'}
{'Epoch': 0, 'HIT@1': '0.0000', 'NDCG@1': '0.0000', 'HIT@5': '0.0098', 'NDCG@5': '0.0038', 'HIT@10': '0.0105', 'NDCG@10': '0.0040', 'MRR': '0.0911'}
Finetune_sample-Beauty-0-TOP1-100
{'Epoch': 0, 'HIT@1': '0.0000', 'NDCG@1': '0.0000', 'HIT@5': '0.0098', 'NDCG@5': '0.0038', 'HIT@10': '0.0105', 'NDCG@10': '0.0040', 'MRR': '0.0911'}
{'Epoch': 0, 'HIT@5': '0.0079', 'NDCG@5': '0.0045', 'HIT@10': '0.0160', 'NDCG@10': '0.0071', 'HIT@20': '0.0279', 'NDCG@20': '0.0101'}
